#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
regalia.hunted;[relic_hunter.GetJobTitle] [relic_hunter.GetFirstName] has finally returned from [relic_hunter.GetHerHis] travels. [relic_hunter.GetSheHeCap] has brought back a exquisite weapon!;;;;;;;;;;;;;x
regalia.tooltip.glass;Order a §YGlass§! weapon. It will give you §G+0.1§! §YOffense§!, §G-0.1§! §YDefence§! and §G+1§! §YPersonal Combat Skill§!.\n;;;;;;;;;;;;;x
regalia.tooltip.killer;Order a §YKiller§! weapon. It will give you §G+0.1§! §YMorale Damage§!, §G+1§! §YMartial§! and §G+1§! §YPersonal Combat Skill§!.\n;;;;;;;;;;;;;x
regalia.tooltip.brave;Order a §YBrave§! weapon. It will give you §G+0.1§! §YOffense§!, §G+1§! §YMartial§! and §G+1§! §YPersonal Combat Skill§!.\n;;;;;;;;;;;;;x
EVTDESC_MNM_9122.fe;I was struck with nervous excitement when [From.GetMasterMistressCap] [From.GetFirstName] announced that the [From.GetWeaponsmithWeapon] was nearing its completion. Today I have received the [From.GetMasterMistressCap] in my throne room. A sturdy box is in [From.GetHerHis] arms, and as [From.GetSheHe] opens the lid, I find it almost impossible to breathe. 'Your [From.GetWeaponsmithWeapon], my [Root.GetTitle].';;;;;;;;;;;;;x

regalia.1.title;The Mountains of Lycia;;;;;;;;;;;;;x
regalia.1.desc;One of the scouts you dispatched to look into rumors of legendary weapons has returned with an interesting story. Long ago, an altar was built in the depths of a nearby mountain cave. In the altar, a weapon of great strength was hidden to keep it from evil hands.\nMost locals fear what might be lurking in the cave and refuse to approach. However, a village elder may be able to tell you more about the place.;;;;;;;;;;;;;x
regalia.1.A;We will proceed directly to this cave.;;;;;;;;;;;;;x
regalia.1.B;Let us see what this elder has to say.;;;;;;;;;;;;;x
regalia.1.C;This hunt has gone far enough.;;;;;;;;;;;;;x
regalia.2.title;Roland's Warriors;;;;;;;;;;;;;x
regalia.2.desc;"[Root.GetTitledFirstName], welcome," the old man greets you. "I'm told you're curious about the old cave. Lord Roland built something in there long ago, when he ruled all of Lycia. The story goes that many soldiers who fought beside him in the Scouring followed him inside to help with the construction, but Lord Roland was the only one to leave before the cave was sealed."\n\nThe elder's expression turns thoughtful. "Anyone he left to guard the cave is long dead, of course. If they were alive, though... I wouldn't care to test them without an army of my own.";;;;;;;;;;;;;x
regalia.2.A;Let us investigate this cave.;;;;;;;;;;;;;x
regalia.2.B;This hunt has gone far enough.;;;;;;;;;;;;;x
regalia.3.title;Valorous Roland;;;;;;;;;;;;;x
regalia.3.desc;Your men have broken the seal on the cave, and you step into an inferno. The air in the tunnels is hot and hurts to breathe. You can see lava pools spouting columns of flame off to the side of the path. But what stops you in your tracks isn't the oppressive heat - it's the pale warriors in ancient armor striding towards you from the back of the cavern. The weapons they brandish still look lethal despite their obvious age, and from the rustling and clanking you can hear, there are a lot of them.\n\nThe ghostly warriors do not speak, but it's clear they will not let you pass without a fight.;;;;;;;;;;;;;x
#EVTDESCregalia.3;As you walk deeper into the cave, you see pale warriors in ancient armor striding towards you from the back of the cavern. The weapons they brandish still looks lethal despite their age, and from the rustling and clanking you can hear, there are a lot of them.\nThe ghostly soldiers have not spoken, but it's clear they will not let you pass without a fight.;;;;;;;;;;;;;x
#EVTDESCregalia.x;Your men have broken the seal on the cave, and you walk into an inferno. The air in this mountain cave is hot and hurts to breathe. You can see lava pools spouting columns of flame off to the side of the path. But what stops you in your tracks isn't the oppressive heat - it's the pale warriors in ancient armor striding towards you from the back of the cavern. The weapons they brandish still looks lethal ;;;;;;;;;;;;;x
regalia.3.A;We will cut them down.;;;;;;;;;;;;;x
regalia.3.B;I'm getting out of here!;;;;;;;;;;;;;x
regalia.4.title;The Guardians Stand Fast;;;;;;;;;;;;;x
regalia.4.desc;Their job done, the silent warriors head back into the cave. You get the sense that you've failed a test - even if you return with more soldiers and defeat the phantoms, the weapon they protect will never acknowledge you as its rightful wielder.;;;;;;;;;;;;;x
regalia.4.A;I guess they don't make them like they used to...;;;;;;;;;;;;;x
regalia.5.title;The Guardians Fall;;;;;;;;;;;;;x
regalia.5.desc;The last guardian spirit looks you in the eyes and nods before it stiffens, falls over, and crumbles to dust.\n\nNow that they are out of the way - and more importantly, that they seem to have recognized you - you can resume your search for the weapon.;;;;;;;;;;;;;x
regalia.5.A;At last..;;;;;;;;;;;;;x
regalia.6.title;The Blazing Sword;;;;;;;;;;;;;x
regalia.6.desc;In the depths of the volcanic cave you find an altar carved with the image of a sword. As you approach the altar, the air above it seems to shimmer and an enormous broadsword appears. It floats in place for a moment before dropping smoothly into your hands.\n\nDurandal, the Blazing Sword, has chosen you as its rightful wielder.;;;;;;;;;;;;;x
regalia.6.A;...what a wondrous blade.;;;;;;;;;;;;;x
regalia.7.title;The Blazing Sword;;;;;;;;;;;;;x
regalia.7.desc;Roland, the original wielder of the sword Durandal, was from a small town in Ostia before he rose to prominence. It is possible that his weapon lies hidden somewhere in the area...;;;;;;;;;;;;;x
regalia.7.A;I will send some people to investigate.;;;;;;;;;;;;;x
regalia.7.B;I know exactly where it is.;;;;;;;;;;;;;x
regalia.7.C;I don't have time for this right now.;;;;;;;;;;;;;x
regalia.8.title;The Blazing... Cave?;;;;;;;;;;;;;x
regalia.8.desc;"[Root.GetTitledFirstName], welcome," the old man greets you. "I hear you'll be exploring the old cave. Best be careful if you do. It's fiendishly hot in there, and the path is treacherous. One wrong step and you'll tumble into a lava flow. I haven't explored it all myself, but I did find that mosaic in one of the chambers."\n\nHe points upward, at a tablet covered with ugly brown and red tiles. "I think it's a map of the deepest part. Remember what it looks like if you find yourself lost.";;;;;;;;;;;;;x
regalia.8.A;Let us investigate this cave.;;;;;;;;;;;;;x
