#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
promote;Promote;;;;;;;;;;;;;x
promote_desc;Promote to an advanced class.;;;;;;;;;;;;;x
promote_sorceror;Promote;;;;;;;;;;;;;x
promote_sorceror_desc;There is an ancient ritual that allows a mage to draw in a large amount of magic power. This would increase my power and lifespan dramatically, but may lead to some personality changes. There is also the risk that the power will overwhelm my mind and leave me comatose.;;;;;;;;;;;;;x
promote_sage;Promote;;;;;;;;;;;;;x
promote_sage_desc;There is an avenue of research that seems especially promising. Persuing it would lead to mastery of all forms of magic and a greatly increased lifespan.;;;;;;;;;;;;;x
decide_what_to_do_with_regalia;Decide on regalia inheritance;;;;;;;;;;;;;x
decide_what_to_do_with_regalia_desc;Decide what to do with your regalia after your death.;;;;;;;;;;;;;x
decide_what_to_do_with_regalia_tooltip;You have a decision to make.;;;;;;;;;;;;;x
create_golden_church;Create the Golden See;;;;;;;;;;;;;x
create_golden_church_desc;If I am "pious" enough and control Aquleia, I can create a Golden Bishop to serve as the head of the faith in opposition to the foolish High Bishop of the Elimine Church.;;;;;;;;;;;;;x
form_kingdom_of_lycia;Form the Kingdom of Lycia;;;;;;;;;;;;;x
form_kingdom_of_lycia_desc;With enough prestige and the approval of your peers, the Lycian League can be reformed into a true kingdom.;;;;;;;;;;;;;x
form_kingdom_of_lycia.tooltip.allow;At least §Y10§! of the §Y14§! marches of §YLycia§! exist, and all marches of §YLycia§! have no holder or the current holder's opinion of §Y[Root.GetTitledFirstName]§! is at least §Y50§!.\n;;;;;;;;;;;;;x
create_war_dragons;Create War Dragons;;;;;;;;;;;;;x
create_war_dragons_desc;Your Demon Dragon can be called upon to create War Dragons for your army.;;;;;;;;;;;;;x
create_war_dragons.tooltip.allow;The Demon Dragon has not reached the limit on the number of War Dragons it can control §Y(9)§!.;;;;;;;;;;;;;x
create_war_dragons.tooltip;Three new War Dragons will be created.;;;;;;;;;;;;;x
create_morph;Create Morph;;;;;;;;;;;;;x
create_morph_desc;Use your arcane knowledge to create an artificial human.;;;;;;;;;;;;;x
